Header,Content,acronym,Related_To,Synonym,Is_Synonym,regex_keys
termination condition,"In reinforcement learning, the conditions that determine when an episode ends, such as when the agent reaches a certain state or exceeds a threshold number of state transitions.
For example, intic-tac-toe(also
known as noughts and crosses), an episode terminates either when a player marks
three consecutive spaces or when all spaces are marked.",,"['agent', 'condition', 'episode', 'layer', 'state']",,false,"(termination(\s|-)?condit|\s(\s|\.|\,))"
binary condition,"In adecision tree, aconditionthat has only two possible outcomes, typicallyyesorno.
For example, the following is a binary condition: Contrast withnon-binary condition. ",,"['condition', 'decision tree', 'non-binary condition']",,false,"(binary(\s|-)?condit|\s(\s|\.|\,))"
static inference,Synonym for offline inference.,,"['inference', 'offline', 'offline inference']",offline inference,true,"(static(\s|-)?inference|\soffline inference(\s|\.|\,))"
feedforward neural network (FFN),"A neural network without cyclic or recursive connections. For example,
traditionaldeep neural networksare
feedforward neural networks. Contrast withrecurrent neural
networks, which are cyclic. ",FFN,"['deep neural network', 'neural network']",,false,"(feedforward(\s|-)?neural(\s|-)?network(\s|-)?()|\sFFN(\s|\.|\,)|\s(\s|\.|\,))"
stationarity,"A feature whose values don't change across one or more dimensions, usually time.
For example, a feature whose values look about the same in 2021 and
2023 exhibits stationarity. In the real world, very few features exhibit stationarity. Even features
synonymous with stability (like sea level) change over time. Contrast withnonstationarity. ",,"['dimensions', 'feature', 'nonstationarity']",,false,"(stationarity|\s(\s|\.|\,))"
stride,"In a convolutional operation or pooling, the delta in each dimension of the
next series of input slices. For example, the following animation
demonstrates a (1,1) stride during a convolutional operation. Therefore,
the next input slice starts one position to the right of the previous input
slice. When the operation reaches the right edge, the next slice is all
the way over to the left but one position down.  The preceding example demonstrates a two-dimensional stride. If the input
matrix is three-dimensional, the stride would also be three-dimensional. ",,"['convolution', 'convolutional operation', 'pooling', 'intersection over union']",,false,"(stride|\s(\s|\.|\,))"
step,A forward pass and backward pass of one batch. See backpropagation.,,"['backpropagation', 'batch']",,false,"(step|\s(\s|\.|\,))"
pure function,"A function whose outputs are based only on its inputs, and that has no side
effects. Specifically, a pure function doesn't use or change any global state,
such as the contents of a file or the value of a variable outside the function. Pure functions can be used to create thread-safe code, which is beneficial
when shardingmodelcode across multipleaccelerator chips. JAX'sfunction transformation methods require
that the input functions are pure functions. ",,"['accelerator chip', 'function transformation', 'JAX', 'model', 'shard', 'state', 'Tensor Processing Unit']",,false,"(pure(\s|-)?funct|\s(\s|\.|\,))"
"experimenter's bias",Seeconfirmation bias.,,"['confirmation bias']",,false,"(experimenter's(\s|-)?bia|\s(\s|\.|\,))"
state-action value function,Synonym for Q-function.,,"['Q-function']",q-function,true,"(state(\s|-)?action(\s|-)?value(\s|-)?funct|\sQ-function(\s|\.|\,))"
structural risk minimization (SRM),"An algorithm that balances two goals: e.g.  a function that minimizes both loss and regularization on the training set.
Contrast with empirical risk minimization.",,"['loss', 'regularization', 'training', 'training set']",,false,"(structural(\s|-)?risk(\s|-)?minimization(\s|-)?|\s(\s|\.|\,))"
stochastic gradient descent (SGD),A gradient descent algorithm in which a single example is randomly chosen from the training set i.e. the batch size is one.,,"['batch', 'batch size', 'gradient', 'gradient descent', 'training', 'training set']",,false,"(stochastic(\s|-)?gradient(\s|-)?descent(\s|-)?|\s(\s|\.|\,))"
step size,Synonym for learning rate.,,"['learning rate']",learning rate,true,"(step(\s|-)?size|\slearning rate(\s|\.|\,))"
target network,"In Deep Q-learning, a neural network that is a stable approximation of the main neural network, where the main neural network
implements either a Q-function or a policy.
Then, you can train the main network on the Q-values predicted by the target
network. Therefore, you prevent the feedback loop that occurs when the main
network trains on Q-values predicted by itself. By avoiding this feedback,
training stability increases. ",,"['feedback loop', 'neural network', 'policy', 'Q-function', 'Q-learning', 'target', 'training']",,false,"(target(\s|-)?network|\s(\s|\.|\,))"
threshold (for decision trees),"In an axis-aligned condition, the value that afeatureis being compared against. For example, 75 is the
threshold value in the following condition:",,"['axis-aligned condition', 'condition', 'feature']",,false,"(threshold(\s|-)?|\s(\s|\.|\,))"
constituency parsing,"Dividing a sentence into smaller grammatical structures (""constituents"").
A later part of the ML system, such as anatural language understandingmodel,
can parse the constituents more easily than the original sentence. For example,
consider the following sentence: My friend adopted two cats. A constituency parser can divide this sentence into the following
two constituents: These constituents can be further subdivided into smaller constituents.
For example, the verb phrase adopted two cats could be further subdivided into:",,"['model', 'natural language understanding']",,false,"(constituency(\s|-)?pars|\s(\s|\.|\,))"
input layer,"Thelayerof aneural networkthat
holds thefeature vector. That is, the input layer
providesexamplesfortrainingorinference. For example, the input layer in the following
neural network consists of two features:",,"['feature', 'feature vector', 'inference', 'layer', 'neural network', 'training', 'vector']",,false,"(input(\s|-)?layer|\s(\s|\.|\,))"
gradient,"The vector ofpartial derivativeswith respect to
all of the independent variables. In machine learning, the gradient is
the vector of partial derivatives of the model function. The gradient points
in the direction of steepest ascent. ",,"['machine learning', 'model', 'partial derivative', 'vector']",,false,"(gradient|\s(\s|\.|\,))"
graph,"In TensorFlow, a computation specification. Nodes in the graph
represent operations. Edges are directed and represent passing the result
of an operation (aTensor) as an
operand to another operation. UseTensorBoardto visualize a graph.",,"['Tensor', 'TensorBoard', 'TensorFlow']",,false,"(graph|\s(\s|\.|\,))"
graph execution,,,[],,false,"(graph(\s|-)?execut|\s(\s|\.|\,))"
test loss,"Ametricrepresenting a model'slossagainst
thetest set. When building amodel, you
typically try to minimize test loss. That's because a low test loss is a
stronger quality signal than a lowtraining lossor
lowvalidation loss. A large gap between test loss and training loss or validation loss sometimes
suggests that you need to increase theregularization rate. ",,"['loss', 'metric', 'model', 'regularization', 'regularization rate', 'test', 'test set', 'training', 'training loss', 'validation', 'validation loss']",,false,"(test(\s|-)?los|\s(\s|\.|\,))"
operation (op),"In TensorFlow, any procedure that creates,
manipulates, or destroys aTensor. For
example, a matrix multiply is an operation that takes two Tensors as
input and generates one Tensor as output. ",,"['Tensor', 'TensorFlow', 'Tensor Processing Unit']",,false,"(operation(\s|-)?|\s(\s|\.|\,))"
pandas,"A column-oriented data analysis API built on top ofnumpy.
Many machine learning frameworks,
including TensorFlow, support pandas data structures as inputs. See thepandas documentationfor details.",,"['data analysis', 'machine learning', 'NumPy', 'Tensor', 'TensorFlow']",,false,"(pandas|\s(\s|\.|\,))"
test set,"A subset of thedatasetreserved for testing
a trainedmodel. Traditionally, you divide examples in the dataset into the following three
distinct subsets: Each example in a dataset should belong to only one of the preceding subsets.
For instance, a single example shouldn't belong to both the training set and
the test set. The training set and validation set are both closely tied to training a model.
Because the test set is only indirectly associated with training,test lossis a less biased, higher quality metric thantraining lossorvalidation loss.",,"['instance', 'loss', 'metric', 'model', 'test', 'test loss', 'training', 'training loss', 'training set', 'validation', 'validation loss', 'validation set']",,false,"(test(\s|-)?set|\s(\s|\.|\,))"
